Player,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
28f66c2e,22.78,33.89,67.2,537.78,238.89,5.0,8.33,60.0,11.67,13.89,84.0,6.11,10.0,33.94,0.0,0.0,0.0,0.0,1.67,0.56,0.0,2.78
2fd337af,38.82,47.06,82.5,899.41,453.53,11.76,11.76,100.0,15.88,18.82,84.4,8.82,13.53,38.35,0.0,0.06,-0.06,0.59,7.06,0.59,0.59,5.88
7a435eb3,25.0,30.0,83.3,347.5,55.0,12.5,17.5,71.4,12.5,12.5,100.0,0.0,0.0,,0.0,0.5,-0.5,2.5,0.0,0.0,0.0,5.0
8e8f40e0,20.0,35.0,57.1,377.5,62.5,7.5,12.5,60.0,12.5,20.0,62.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5
ac4003af,17.8,23.2,76.7,537.8,310.4,3.6,3.6,100.0,7.6,7.8,97.4,6.6,11.8,11.18,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
27d902c8,15.83,20.67,76.6,454.83,251.17,1.83,1.83,100.0,7.83,7.83,100.0,5.83,10.5,9.27,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
42130443,23.0,25.0,92.0,435.0,212.0,9.0,9.0,100.0,11.0,11.0,100.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee3519f5,51.25,57.19,89.6,1113.12,237.5,14.38,14.69,97.9,26.25,29.38,89.4,10.0,11.88,26.31,0.0,0.06,-0.06,0.31,3.44,0.0,0.0,1.56
b400bde0,28.33,33.19,85.4,387.64,85.69,17.5,19.44,90.0,9.72,11.11,87.5,0.42,0.97,5.96,0.28,0.24,0.04,0.97,1.53,0.97,0.0,2.78
3b1ed320,120.0,130.0,92.3,2745.0,675.0,55.0,60.0,91.7,20.0,20.0,100.0,45.0,50.0,450.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,25.0
7cd6badb,33.9,43.22,78.4,564.07,114.75,17.97,19.83,90.6,11.53,15.08,76.4,3.56,6.1,9.88,0.34,0.14,0.2,2.03,2.03,1.02,0.0,2.37
5eecec3d,70.9,74.38,95.3,1472.81,415.96,21.46,22.13,97.0,37.98,39.21,96.8,11.24,12.58,10.03,0.0,0.0,0.0,0.11,3.93,0.0,0.0,2.47
339fe0e8,10.0,18.0,55.6,351.0,251.0,3.0,3.0,100.0,3.0,3.0,100.0,4.0,12.0,33.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ef2e5e1a,76.67,83.33,92.0,1046.67,360.0,40.0,40.0,100.0,33.33,36.67,90.9,0.0,3.33,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,10.0
a6154613,17.25,25.29,68.2,269.02,41.18,9.61,12.94,74.2,4.9,7.25,67.6,1.96,2.75,14.0,0.0,0.12,-0.12,1.37,0.59,0.98,0.0,1.57
1e1378e1,58.0,64.0,90.6,854.0,254.0,36.0,40.0,90.0,16.0,18.0,88.9,4.0,4.0,200.0,0.0,0.2,-0.2,4.0,4.0,0.0,0.0,4.0
