Player,fbref id,transm id,mv
Emre Mor,0c3f7197,283223,1200000
Junior Moraes,c43e5e7e,52915,4000000
Alvaro Morata,129af0db,128223,36000000
Nikola Moro,ff579c7e,316934,5800000
Francois Moubandje,6ca88b2a,123021,1600000
Mason Mount,9674002f,346483,40500000
Lucas Moura,2b622f01,77100,32000000
Nordi Mukiele,ac73ec79,348026,20000000
Thomas Muller,3c6089ab,58358,25500000
Simone Muratore,04989945,297648,125000
Luis Muriel,eb2fe5b6,119228,15000000
Fernando Muslera,a2abe631,58088,4000000
Yvon Mvogo,dc29b608,147051,2400000
Enock Mwepu,1d5cab82,490307,5400000
Joakim Maehle,c459a650,369674,8000000
Nacho,2946f9a1,58884,12000000
Yuto Nagatomo,4b6960d2,79522,800000
Keylor Navas,ecada4fc,79422,8000000
Tanguy Ndombele,5cdddffa,450936,52000000
Dieumerci Ndongala,199cd404,103284,1300000
David Neres,4f1e6a0b,469822,36000000
Neto,a9dc785c,111819,14500000
Manuel Neuer,8778c910,17259,14500000
Neymar,69384e5d,68290,128000000
Saul Niguez,c14bc029,148928,72000000
Rasmus Nissen,39769cff,369684,3200000
Christopher Nkunku,7c56da38,344381,28000000
Casper de Norre,b3e4a674,292806,2400000
Steven Nzonzi,c7526c18,73734,11000000
Jan Oblak,ee8508c0,121483,80000000
Stephen Odey,6a479195,491890,2300000
Alvaro Odriozola,1d1691ad,280730,16000000
Alvaro Odriozola,1d1691ad,280730,16000000
David Okereke,d125f22f,413605,5500000
Masaya Okugawa,63b9cc6d,307052,2400000
Peter Olayinka,beec76cc,248393,3500000
Marco Olivieri,f5ba8903,346562,200000
Dani Olmo,ae44e8e2,293385,31500000
Dani Olmo,ae44e8e2,293385,31500000
Andre Onana,e9c0c1b2,234509,36000000
Jerome Onguene,e81f0356,272638,4000000
Paul Onuachu,c06d1086,272855,5200000
Lois Openda,8652a85c,368887,4000000
Willi Orban,20030c06,93740,16000000
Divock Origi,43a166b4,148368,16000000
Mislav Orsic,ee950928,119150,7500000
Victor Osimhen,8c90fd7a,401923,27000000
Yordan Osorio,4d17df3e,358165,2000000
David Ospina,82b1198a,73396,2800000
Nicolas Otamendi,0d267745,54781,14500000
Alex Oxlade-Chamberlain,38c7feef,143424,28000000
Sener Ozbayrakli,952e0df2,169873,325000
Magomed Ozdoyev,3ef0af0d,137206,5500000
Joseph Paintsil,88062e83,534435,2700000
Emerson Palmieri,e0bc6fdc,181778,24000000
Radovan Pankov,1e8dbb59,322798,1600000
Leandro Paredes,dff153a4,166237,20000000
Daniel Parejo,7460ca0d,59561,28000000
Thomas Partey,529f49ab,230784,40000000
Mario Pasalic,e599253a,205938,16000000
Alan Patrick,00672021,104505,4800000
Paulinho,53070b63,428791,13500000
Gabriel Paulista,b7ca5c51,149498,17500000
Benjamin Pavard,45a03961,353366,28000000
Milan Pavkov,eed332df,386224,2200000
Pedro,3ca7254a,65278,9500000
Carles Perez,a8f21b9f,282810,9000000
Dino Peric,121101a4,240106,4800000
Ivan Perisic,6fe90922,42460,17500000
Bruno Petkovic,24228180,256358,11000000
Njegos Petrovic,0cb29e91,376588,2500000
Jeremy Pied,a634b9d2,60583,2000000
