Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Viktor Claesson,b3a712de,10000000,se SWE,FWMF,ru Krasnodar,28,1992,3.2,78,103,75.7,1157,357,40,51,78.4,29,35,82.9,5,10,50.0,1,0.7,+0.3,6,2,6,0,10
Leighton Clarkson,d5dafedb,150000,eng ENG,MF,eng Liverpool,18,2001,1.0,43,58,74.1,889,212,16,20,80.0,22,25,88.0,5,13,38.5,0,0.0,0.0,1,5,2,0,4
Kingsley Coman,042e8a49,65000000,fr FRA,FW,de Bayern Munich,24,1996,6.0,186,244,76.2,3158,560,100,119,84.0,62,79,78.5,20,28,71.4,3,1.0,+2.0,10,6,6,2,10
Francisco Conceição,5ef3d210,8000000,pt POR,MF,pt Porto,17,2002,0.1,4,5,80.0,37,2,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Dion Cools,0331786b,1500000,my MAS,DF,dk Midtjylland,24,1996,2.3,82,122,67.2,2100,948,15,21,71.4,40,61,65.6,27,38,71.1,0,0.3,-0.3,3,6,1,1,10
Vedran Ćorluka,6ceef869,1000000,hr CRO,DF,ru Loko Moscow,34,1986,4.5,134,179,74.9,3734,1710,20,22,90.9,63,72,87.5,50,84,59.5,0,0.0,0.0,0,12,2,1,19
Jesús Corona,fb938d24,30000000,mx MEX,MFFW,pt Porto,27,1993,8.4,198,266,74.4,3135,933,106,121,87.6,63,86,73.3,19,35,54.3,2,1.7,+0.3,8,8,9,3,15
Ángel Correa,01eb744d,40000000,ar ARG,FWMF,es Atlético Madrid,25,1995,5.4,152,205,74.1,2291,457,75,99,75.8,53,63,84.1,14,20,70.0,2,2.1,-0.1,12,7,7,3,10
Joaquín Correa,45b9b619,30000000,ar ARG,FW,it Lazio,25,1994,7.4,185,232,79.7,2937,626,100,123,81.3,59,69,85.5,15,23,65.2,2,1.5,+0.5,10,13,8,0,20
Diogo Costa,93fffbcf,6000000,pt POR,GK,pt Porto,20,1999,1.0,21,45,46.7,680,425,2,2,100.0,12,12,100.0,7,31,22.6,0,0.0,0.0,0,0,0,0,0
Douglas Costa,4fa7cb9b,6000000,br BRA,FWMF,de Bayern Munich,29,1990,2.6,103,132,78.0,1613,288,58,63,92.1,29,37,78.4,10,20,50.0,1,0.2,+0.8,3,7,2,0,6
