Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Malang Sarr,4315f30d,10000000,fr FRA,DF,pt Porto,21,1999,4.7,0,1,1,100.0,0.21,0.21,0.00,0.00,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Stefan Savić,f6ac68c1,25000000,me MNE,DF,es Atlético Madrid,29,1991,7.9,0,2,0,0.0,0.25,0.00,0.00,,15.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Alexander Scholz,b0c7a51d,2500000,dk DEN,DF,dk Midtjylland,27,1992,6.0,2,3,2,66.7,0.50,0.33,0.33,0.50,22.4,0,1,1,0.9,0.1,0.04,+1.1,+0.9
Siebe Schrijvers,746fec7d,2200000,be BEL,MF,be Club Brugge,24,1996,0.3,0,1,0,0.0,3.46,0.00,0.00,,41.0,1,0,0,0.1,0.1,0.08,-0.1,-0.1
Nico Schulz,fa274d97,6000000,de GER,DF,de Dortmund,27,1993,2.3,0,1,0,0.0,0.43,0.00,0.00,,11.4,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Perr Schuurs,e613313c,8000000,nl NED,DF,nl Ajax,20,1999,5.6,0,7,1,14.3,1.25,0.18,0.00,0.00,24.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Rúben Semedo,c904f3d5,8000000,pt POR,DF,gr Olympiacos,26,1994,5.9,0,3,0,0.0,0.51,0.00,0.00,,7.3,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Stefano Sensi,b70bde8f,13000000,it ITA,MF,it Inter,24,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Artem Shabanov,52e101a8,1500000,ua UKR,DF,ua Dynamo Kyiv,28,1992,1.0,0,1,0,0.0,1.00,0.00,0.00,,8.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Daniil Shamkin,e8c0cafd,800000,ru RUS,MFFW,ru Zenit,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mykola Shaparenko,17e3e467,8000000,ua UKR,MF,ua Dynamo Kyiv,21,1998,4.7,0,3,1,33.3,0.63,0.21,0.00,0.00,18.0,1,0,0,0.2,0.2,0.06,-0.2,-0.2
Xherdan Shaqiri,6421ec64,12000000,ch SUI,MFFW,eng Liverpool,28,1991,1.8,0,1,0,0.0,0.57,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Luke Shaw,9c94165b,35000000,eng ENG,DF,eng Manchester Utd,25,1995,3.7,0,2,0,0.0,0.55,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Volodymyr Shepelyev,a81ed730,2500000,ua UKR,MF,ua Dynamo Kyiv,23,1997,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dávid Sigér,3d2320f7,1000000,hu HUN,MF,hu Ferencváros,29,1990,4.3,0,4,0,0.0,0.93,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Bernardo Silva,3eb22ec9,70000000,pt POR,MFFW,eng Manchester City,25,1994,10.3,1,11,5,45.5,1.07,0.48,0.09,0.20,11.6,0,0,0,1.1,1.1,0.10,-0.1,-0.1
Thiago Silva,86e7deaf,3000000,br BRA,DF,eng Chelsea,35,1984,6.3,0,3,0,0.0,0.48,0.00,0.00,,16.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Aleksandr Silyanov,2690dffa,300000,ru RUS,MF,ru Loko Moscow,19,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Pione Sisto,fd9c4805,4500000,dk DEN,MFFW,dk Midtjylland,25,1995,3.8,0,1,0,0.0,0.26,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Milan Škriniar,30f5ffa9,60000000,sk SVK,DF,it Inter,25,1995,3.0,0,2,0,0.0,0.67,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Martin Škrtel,defb905a,400000,sk SVK,DF,tr Başakşehir,35,1984,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Igor Smolnikov,76d5857d,1500000,ru RUS,DFMF,ru Krasnodar,31,1988,5.0,0,3,0,0.0,0.60,0.00,0.00,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Fyodor Smolov,cbbfa2e7,6000000,ru RUS,FWMF,ru Loko Moscow,30,1990,2.2,0,3,2,66.7,1.36,0.90,0.00,0.00,13.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3
