Player,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err
52611641,6.0,4.0,0.0,6.0,0.0,2.0,8.0,25.0,6.0,22.0,10.0,45.5,6.0,12.0,4.0,6.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0
9e1035f8,1.25,0.25,0.0,0.75,0.5,0.5,0.75,66.7,0.25,15.75,3.75,23.8,0.75,3.75,11.25,0.75,0.0,0.0,0.75,0.5,1.75,0.5,0.0
58a9a4d9,1.94,1.61,0.65,0.97,0.32,0.32,2.26,14.3,1.94,15.16,6.45,42.6,3.23,5.81,6.13,1.61,0.0,0.0,1.61,1.29,3.23,0.0,0.0
a4b1028a,1.5,1.0,1.17,0.33,0.0,0.33,1.33,25.0,1.0,9.5,2.83,29.8,4.83,4.17,0.5,1.5,0.17,0.0,1.33,1.0,2.5,2.67,0.0
096a77c4,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,13.33,3.33,25.0,6.67,6.67,0.0,3.33,0.0,0.0,3.33,0.0,0.0,3.33,0.0
77e39b04,1.35,0.81,0.0,0.27,1.08,0.0,1.89,0.0,1.89,19.73,6.49,32.9,2.16,7.3,10.27,1.62,0.0,0.0,1.62,0.54,1.89,0.0,0.0
21512407,1.91,1.03,1.03,0.59,0.29,0.88,1.62,54.5,0.74,13.24,4.85,36.7,5.59,5.0,2.65,1.62,0.44,0.0,1.18,0.59,2.5,2.35,0.0
41f0b196,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5d0e0a1f,3.33,1.85,2.22,0.37,0.74,0.74,2.22,33.3,1.48,12.59,5.56,44.1,4.07,5.56,2.96,1.48,0.37,0.0,1.11,0.74,4.07,2.22,0.0
f315ca93,1.43,0.71,0.71,0.0,0.71,0.71,2.86,25.0,2.14,21.43,4.29,20.0,10.0,8.57,2.86,2.86,0.71,0.0,2.14,1.43,2.86,5.0,0.71
f7e87032,1.06,0.64,0.64,0.21,0.21,0.21,2.13,10.0,1.91,20.0,4.26,21.3,8.51,7.66,3.83,1.06,0.21,0.0,0.85,0.85,1.91,0.64,0.0
2baec6ce,2.17,2.17,1.74,0.43,0.0,0.43,0.87,50.0,0.43,12.61,4.78,37.9,10.0,2.17,0.43,0.0,0.0,0.0,0.0,0.43,2.61,4.35,0.0
ed140063,0.69,0.52,0.34,0.34,0.0,0.34,1.38,25.0,1.03,17.24,4.31,25.0,6.55,7.24,3.45,2.41,0.69,0.0,1.72,0.86,1.55,0.86,0.0
1a799243,3.17,2.0,2.0,0.83,0.33,1.17,2.33,50.0,1.17,16.5,5.33,32.3,7.17,5.83,3.5,1.67,0.17,0.0,1.5,0.5,3.67,2.0,0.0
3eed9821,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,0.0,10.0,2.5,25.0,0.0,7.5,2.5,2.5,0.0,0.0,2.5,2.5,5.0,0.0,0.0
d248cd8f,2.84,2.24,1.79,0.9,0.15,0.45,1.19,37.5,0.75,12.54,5.37,42.9,8.06,4.03,0.45,1.19,0.45,0.0,0.75,1.94,4.78,3.73,0.3
b997c3de,2.53,1.57,1.45,1.08,0.0,0.24,1.57,15.4,1.33,18.67,4.7,25.2,6.87,8.55,3.25,0.96,0.0,0.0,0.96,1.2,3.73,1.81,0.0
9ddb85e8,3.2,3.2,1.2,1.6,0.4,1.2,3.2,37.5,2.0,8.8,3.2,36.4,2.4,4.0,2.4,0.8,0.4,0.0,0.4,0.0,3.2,0.4,0.0
01da7812,0.37,0.37,0.0,0.37,0.0,0.0,1.48,0.0,1.48,12.59,2.96,23.5,3.33,4.44,4.81,1.11,0.37,0.0,0.74,1.11,1.48,0.74,0.0
7b456af7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7a4cea18,1.07,1.07,0.36,0.71,0.0,0.0,0.71,0.0,0.71,10.36,3.93,37.9,0.71,6.43,3.21,1.07,0.0,0.0,1.07,0.71,1.79,0.0,0.0
9778d8dd,2.0,0.0,0.0,2.0,0.0,1.0,4.0,25.0,3.0,11.0,4.0,36.4,3.0,7.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0
0959c2a2,2.78,1.11,0.93,0.74,1.11,0.93,2.22,41.7,1.3,21.11,5.74,27.2,4.63,11.3,5.19,2.59,0.19,0.0,2.41,2.04,4.81,0.93,0.0
21453b2e,,,,,,,,,,,,,,,,inf,,,inf,,,,
2bf50b37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
392a7aea,0.85,0.85,0.17,0.51,0.17,0.34,1.02,33.3,0.68,14.07,3.9,27.7,2.2,7.46,4.41,1.19,0.0,0.0,1.19,1.02,1.86,1.02,0.0
9f8e9423,1.22,0.78,0.89,0.22,0.11,0.22,0.67,33.3,0.44,9.44,2.56,27.1,4.44,3.89,1.11,1.0,0.44,0.0,0.56,0.89,2.11,3.67,0.0
467bae22,3.0,1.0,0.0,3.0,0.0,2.0,4.0,50.0,2.0,24.0,6.0,25.0,0.0,19.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
fd51b456,2.75,2.0,1.12,1.25,0.38,1.12,2.88,39.1,1.75,19.25,6.38,33.1,7.75,7.38,4.12,2.25,0.0,0.0,2.25,0.88,3.62,1.38,0.0
