Player,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
7a11550b,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6e4df551,0.0,3.0,1.0,33.3,3.0,1.0,0.0,0.0,23.6,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
6e4df551,0.2,1.2,0.6,50.0,1.2,0.6,0.17,0.33,25.4,0.0,0.0,0.0,0.06,0.06,0.05,0.14,0.14
bc6f5f06,0.0,0.91,0.0,0.0,0.91,0.0,0.0,,28.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
cecbce23,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
42dcf26d,0.0,0.5,0.0,0.0,0.5,0.0,0.0,,11.9,0.0,0.0,0.0,0.03,0.03,0.06,-0.03,-0.03
cc86b9a3,0.42,2.08,0.62,30.0,2.07,0.62,0.2,0.67,18.0,0.0,0.0,0.0,0.15,0.15,0.07,0.27,0.27
8b3d765f,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2d970560,0.16,1.27,0.48,37.5,1.28,0.48,0.13,0.33,14.3,0.0,0.0,0.0,0.14,0.14,0.11,0.02,0.02
b8e740fb,0.17,1.02,0.17,16.7,1.02,0.17,0.17,1.0,21.5,0.0,0.0,0.0,0.07,0.07,0.07,0.1,0.1
58eee997,0.43,4.35,2.17,50.0,4.27,2.13,0.1,0.2,13.9,0.0,0.0,0.0,0.3,0.3,0.07,0.13,0.13
8b298f56,0.0,0.8,0.8,100.0,0.81,0.81,0.0,0.0,22.5,0.4,0.0,0.0,0.12,0.12,0.14,-0.12,-0.12
df69b544,0.36,2.86,1.07,37.5,2.87,1.08,0.13,0.33,11.9,0.0,0.0,0.0,0.43,0.43,0.15,-0.07,-0.07
8b8e759d,0.0,1.63,0.23,14.3,1.63,0.23,0.0,0.0,12.9,0.0,0.0,0.0,0.07,0.07,0.05,-0.07,-0.07
0076ab7f,0.0,0.55,0.36,66.7,0.54,0.36,0.0,0.0,20.4,0.0,0.0,0.0,0.02,0.02,0.02,-0.02,-0.02
048a1cbc,0.14,0.81,0.27,33.3,0.81,0.27,0.17,0.5,16.9,0.14,0.0,0.0,0.18,0.18,0.22,-0.04,-0.04
7155e3e1,0.0,1.05,0.53,50.0,1.06,0.53,0.0,0.0,15.2,0.0,0.0,0.0,0.05,0.05,0.03,-0.05,-0.05
923f4dda,0.53,1.58,0.79,50.0,1.59,0.79,0.17,0.33,11.9,0.0,0.26,0.26,0.45,0.26,0.16,0.08,0.0
bcb2ccd8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
b686f4c0,0.0,1.3,0.43,33.3,1.32,0.44,0.0,0.0,17.6,0.0,0.0,0.0,0.13,0.13,0.11,-0.13,-0.13
819b3158,0.28,1.11,0.37,33.3,1.11,0.37,0.25,0.75,17.9,0.09,0.0,0.0,0.15,0.15,0.13,0.13,0.13
b583aef5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1f44ac21,1.28,3.33,2.05,61.5,3.33,2.05,0.35,0.56,14.1,0.0,0.13,0.13,0.83,0.74,0.23,0.45,0.41
8696bc90,0.3,4.24,0.61,14.3,4.29,0.61,0.07,0.5,16.4,0.0,0.0,0.0,0.3,0.3,0.08,0.0,0.0
92432bc6,0.21,1.49,0.85,57.1,1.48,0.85,0.14,0.25,14.9,0.0,0.0,0.0,0.21,0.21,0.15,0.0,0.0
e42d61c7,0.0,0.25,0.0,0.0,0.25,0.0,0.0,,12.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
8ff2354e,0.0,0.5,0.5,100.0,0.49,0.49,0.0,0.0,9.0,0.0,0.0,0.0,0.05,0.05,0.12,-0.05,-0.05
74419746,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
a3b952f8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
bfc5768b,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
3b333ac3,0.0,0.34,0.17,50.0,0.34,0.17,0.0,0.0,13.0,0.0,0.0,0.0,0.07,0.07,0.22,-0.07,-0.07
fed7cb61,0.11,1.38,0.34,25.0,1.38,0.34,0.08,0.33,14.2,0.11,0.0,0.0,0.31,0.31,0.23,-0.2,-0.2
a39bb753,0.33,1.33,0.67,50.0,1.31,0.66,0.0,0.0,19.4,0.0,0.33,0.33,0.33,0.1,0.06,0.0,-0.1
50871bcc,0.2,2.45,1.43,58.3,2.44,1.43,0.08,0.14,17.0,0.0,0.0,0.0,0.2,0.2,0.08,0.0,0.0
169fd162,0.0,2.0,0.0,0.0,1.91,0.0,0.0,,19.6,0.0,0.0,0.0,0.6,0.6,0.31,-0.6,-0.6
fecd43a3,0.0,0.7,0.0,0.0,0.7,0.0,0.0,,27.5,0.0,0.0,0.0,0.02,0.02,0.02,-0.02,-0.02
e5a76dfe,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
935e6b8f,0.0,0.75,0.0,0.0,0.74,0.0,0.0,,25.5,0.25,0.0,0.0,0.02,0.02,0.05,-0.02,-0.02
0a89e877,0.0,1.54,0.0,0.0,1.57,0.0,0.0,,14.2,0.0,0.0,0.0,0.08,0.08,0.03,-0.08,-0.08
f45f9427,0.0,0.8,0.4,50.0,0.81,0.4,0.0,0.0,17.9,0.0,0.0,0.0,0.04,0.04,0.05,-0.04,-0.04
f36d5624,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
555f3a0b,0.26,0.51,0.26,50.0,0.52,0.26,0.5,1.0,7.0,0.0,0.0,0.0,0.05,0.05,0.11,0.21,0.21
c3ee18ef,0.13,1.17,0.26,22.2,1.16,0.26,0.11,0.5,21.1,0.0,0.0,0.0,0.05,0.05,0.04,0.08,0.08
436a9dd0,0.0,1.17,0.0,0.0,1.17,0.0,0.0,,19.0,0.0,0.0,0.0,0.05,0.05,0.04,-0.05,-0.05
a8542814,0.0,1.82,0.3,16.7,1.81,0.3,0.0,0.0,24.6,0.3,0.0,0.0,0.12,0.12,0.06,-0.12,-0.12
dfb6490a,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2e7ff968,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
875898c7,0.0,0.37,0.0,0.0,0.37,0.0,0.0,,14.3,0.0,0.0,0.0,0.04,0.04,0.1,-0.04,-0.04
2903a856,0.21,0.62,0.42,66.7,0.63,0.42,0.33,0.5,18.4,0.0,0.0,0.0,0.06,0.06,0.1,0.15,0.15
12aa7661,0.0,0.21,0.0,0.0,0.21,0.0,0.0,,12.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
3f65d5ce,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
15f3ec41,0.53,1.84,0.79,42.9,1.86,0.8,0.29,0.67,16.2,0.0,0.0,0.0,0.24,0.24,0.12,0.29,0.29
05d548d8,0.0,0.45,0.11,25.0,0.46,0.11,0.0,0.0,10.6,0.0,0.0,0.0,0.03,0.03,0.09,-0.03,-0.03
d14229f3,0.0,3.0,2.0,66.7,3.03,2.02,0.0,0.0,16.8,0.0,0.0,0.0,0.3,0.3,0.09,-0.3,-0.3
5042e5c2,0.0,2.5,2.5,100.0,2.25,2.25,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.36,-1.0,-1.0
01204d46,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,8.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
43b78598,0.0,1.11,0.0,0.0,1.12,0.0,0.0,,11.4,0.0,0.0,0.0,0.19,0.19,0.18,-0.19,-0.19
34caa4b3,0.0,1.18,0.59,50.0,1.21,0.6,0.0,0.0,14.7,0.0,0.0,0.0,0.12,0.12,0.08,-0.12,-0.12
03622183,,,,,0.0,0.0,,,,,,,,,,,
